product_id,page_id,helpful,not_helpful,wc,novote,frachelp,verified,review_bottomline,review_rating,price,name,category,review_comments,1. Distributive,2. Procedural,3.Interactional ,4. betrayal,5.material harm,6. emotional harm,7.involvement,8.think/feel,Blames the firm for the failure or dissatisfaction,Claims that the firm is in control of the problem alleviation,Makes negative inferences about the firm’s motives,Negative personality traits,Consensus in complaints,Consistent in complaints,13. Customer value,14. Accomodative response,15. Revenge behaviors,16. Exit behaviour,17. Call to action,18. Common identity,Functionality disappointment,Aesthetic disappointment,Pensive,Impressed,Frustrated ,Disappointed,Angry,Sleepy,Tired,Happy,Good,Discontent,Determined,Afraid ,Anxious,Calm,Relaxed,Content,Depressed,1 Bored,2 Annoyed,3 Enraged,4 Excited,5 Melancholic,6 Satisfied,7 Distressed,8 Uncomfortable,9 Worried,10 Amused,11 Apathetic,12Peacefull,13 Contemplative,14 Embarassed,15 Sad,16 Hopeful,17 Pleased,Tone,Number of exclamation marks,Use of emoticons,Use of abbreviations,Use of caps lock
16356049,82225,0,0,3,1,0,1,Yes,5,69.95,The Best Childrens Digital Camera (Green).,Home:Toys &amp; Games:Classic Toys:,Granddaughter loved it.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16366549,81582,1,0,8,0,1,1,Yes,5,149.95,The Turntable Nightstand.,Home:Home Living:Furniture:,Could stand a more contained storage for remotes,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16366895,81021,3,1,31,0,0.75,1,Yes,5,129.95,The 33-In-1 Golf Club.,Home:Sports &amp; Leisure:Golf:,I thought the collapsing golf club was great. My intended use for it was to send it to my Grandson in Afganistan and I will as soon as he gets settled.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16367037,11486,0,0,71,1,0,1,Yes,5,399.95,The Original Outlaw Biker Jacket.,Home:Apparel:Coats &amp; Jackets:,"One of the most iconic motorcycle jackets ever made still gets raves whenever I wear it. The fit was true to size with a little room to spare, which is perfect for adding a layer when riding in 50 degree weather. The sleeves are long but that works great when reaching for the handlebars. Zip the cuffs and they fall right where they should. Don't think about it, just buy it.",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
16385286,76989,0,0,66,1,0,1,Yes,5,249.95,The Diamond Tipped Microdermabrasion System.,Home:Personal Care:Women's Care:,"I'm used to getting professional treatments but always making appointments then canceling or rearranging due to my work ... when I saw this I thought nothing could be as good but I was wrong , it exceeded my desire for a good at home treatment, and the best part was I can use it any where I need smoother skin  winter takes a toll on all areas lol",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
16401486,11742,4,0,32,0,1,0,Yes,5,279.95,The High Capacity Countertop Ice Maker.,Home:Home Living:Kitchen &amp; Entertaining:,I bought this Ice maker for my cousins kitchen because she is always out of ice when you want it. This solved the problem you have ice anytime or all the time.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16401746,81901,0,0,63,1,0,1,Yes,5,99.95,The Powered Rotation iPad Stereo Dock.,Home:Electronics:iPad Accessories:,Love this product.  it does just exactly what I bought it for--puts my iPad screen up at eye level on my tray thus freeing my hands.  Also charges iPad constantlly so that I don't have to remeber to plug it in every night to recharge.  Nice to have all the attachments so that it could be used on other products as well.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
16441077,75835,0,0,36,1,0,1,Yes,5,89.95,The Working Mack Cement Truck.,Home:Toys &amp; Games:Classic Toys:,Our grandson watched as new cement was being poured across the street.  When he saw this truck in the catalog he really got excited.  He's being extra good so Santa will deliver it on Christmas Eve.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
16442307,78214,0,0,13,1,0,1,Yes,4,229.95,The Brazilian Eucalyptus Glider Chair.,Home:Outdoor Living:Outdoor Furniture:,Love it. just make sure the feet face the same way during assy.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
16499847,81759,10,2,7,0,0.8333330154,1,Yes,5,109.95,The Virtual Keyboard.,Home:Electronics:Computer Accessories:,very useful accessory for ipads and iphones,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
